player_id,Name,Sex,Team,NOC,Year,Season,City,Sport,Event,Medal
1925657,Andrea Fondelli,M,Italy,ITA,2024,Summer,Paris,Water Polo,Men,No medal
1925658,Tommaso Gianazza,M,Italy,ITA,2024,Summer,Paris,Water Polo,Men,No medal
1925659,Matteo Iocchi,M,Italy,ITA,2024,Summer,Paris,Water Polo,Men,No medal
1925664,Gianmarco Nicosia,M,Italy,ITA,2024,Summer,Paris,Water Polo,Men,No medal
1925665,Nicholas Presciutti,M,Italy,ITA,2024,Summer,Paris,Water Polo,Men,No medal
1925666,Vincenzo Renzuto,M,Italy,ITA,2024,Summer,Paris,Water Polo,Men,No medal
1925667,Alessandro Velotto,M,Italy,ITA,2024,Summer,Paris,Water Polo,Men,No medal
1925668,Sara Franceschi,F,Italy,ITA,2024,Summer,Paris,Swimming,Women's 200m Individual Medley,No medal
1925668,Sara Franceschi,F,Italy,ITA,2024,Summer,Paris,Swimming,Women's 400m Individual Medley,No medal
1925669,Lorenzo Zazzeri,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 4 x 100m Freestyle Relay,Bronze
1925669,Lorenzo Zazzeri,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 50m Freestyle,No medal
1925671,Giacomo Carini,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 200m Butterfly,No medal
1925671,Giacomo Carini,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 4 x 100m Medley Relay,No medal
1925675,Paolo Conte,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 4 x 100m Freestyle Relay,Bronze
1925675,Paolo Conte,M,Italy,ITA,2024,Summer,Paris,Swimming,Relay Only Athlete,No medal
1925677,de Luca,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 1500m Freestyle,No medal
1925677,de Luca,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 800m Freestyle,No medal
1925678,de Marco,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 400m Freestyle,No medal
1925681,Leonardo Deplano,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 100m Freestyle,No medal
1925681,Leonardo Deplano,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 4 x 100m Freestyle Relay,Bronze
1925681,Leonardo Deplano,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 50m Freestyle,No medal
1925683,Matteo Lamberti,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 400m Freestyle,No medal
1925684,Michele Lamberti,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 100m Backstroke,No medal
1925684,Michele Lamberti,M,Italy,ITA,2024,Summer,Paris,Swimming,Mixed 4 x 100m Medley Relay,No medal
1925686,Filippo Megli,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 200m Freestyle,No medal
1925686,Filippo Megli,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 4 x 200m Freestyle Relay,No medal
1925690,Alessandro Ragaini,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 200m Freestyle,No medal
1925690,Alessandro Ragaini,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 4 x 200m Freestyle Relay,No medal
1925691,Matteo Restivo,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 200m Backstroke,No medal
1925692,Art Viberti,M,Italy,ITA,2024,Summer,Paris,Swimming,Men's 100m Breaststroke,No medal
1925693,Riccardo Giovannini,M,Italy,ITA,2024,Summer,Paris,Diving,Men's 10m Platform,No medal
1925700,Giulia Gabbrielleschi,F,Italy,ITA,2024,Summer,Paris,Marathon Swimming,Women's 10km,No medal
1925701,Linda Cerruti,F,Italy,ITA,2024,Summer,Paris,Artistic Swimming,Team,No medal
1925701,Linda Cerruti,F,Italy,ITA,2024,Summer,Paris,Artistic Swimming,Duet,No medal
1925702,Francesca Zunino,F,Italy,ITA,2024,Summer,Paris,Artistic Swimming,Team,No medal
1925703,Isotta Sportelli,F,Italy,ITA,2024,Summer,Paris,Artistic Swimming,Team,No medal
1925706,Enrica Piccoli,F,Italy,ITA,2024,Summer,Paris,Artistic Swimming,Team,No medal
1925707,Susanna Pedotti,F,Italy,ITA,2024,Summer,Paris,Artistic Swimming,Team,No medal
1925711,Marta Iacoacci,F,Italy,ITA,2024,Summer,Paris,Artistic Swimming,Team,No medal
1925713,Sofia Mastroianni,F,Italy,ITA,2024,Summer,Paris,Artistic Swimming,Team,No medal
1925715,Giulia Vernice,F,Italy,ITA,2024,Summer,Paris,Artistic Swimming,Team,No medal
1925719,Lucrezia Ruggiero,F,Italy,ITA,2024,Summer,Paris,Artistic Swimming,Team,No medal
1925719,Lucrezia Ruggiero,F,Italy,ITA,2024,Summer,Paris,Artistic Swimming,Duet,No medal
1925721,Lisa Angiolini,F,Italy,ITA,2024,Summer,Paris,Swimming,Women's 100m Breaststroke,No medal
1925725,Costanza Cocconcelli,F,Italy,ITA,2024,Summer,Paris,Swimming,Women's 100m Butterfly,No medal
1925725,Costanza Cocconcelli,F,Italy,ITA,2024,Summer,Paris,Swimming,Mixed 4 x 100m Medley Relay,No medal
1925727,Giulia D'innocenzo,F,Italy,ITA,2024,Summer,Paris,Swimming,Women's 4 x 200m Freestyle Relay,No medal
